"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated"
2020-12-16,"12-17yrs",0,0,,951519,.0000,.0000
2020-12-16,"18-29yrs",45,0,,2455535,.0000,.0000
2020-12-16,"30-39yrs",66,0,,2056059,.0000,.0000
2020-12-16,"40-49yrs",98,0,,1876583,.0000,.0000
2020-12-16,"50-59yrs",141,0,,2060934,.0000,.0000
2020-12-16,"60-69yrs",65,0,,1795046,.0000,.0000
2020-12-16,"70-79yrs",15,0,,1159902,.0000,.0000
2020-12-16,"80+",0,0,,679266,.0000,.0000
2020-12-16,"Adults_18plus",430,0,,12083325,.0000,.0000
2020-12-16,"Ontario_12plus",430,0,,13034844,.0000,.0000
2020-12-16,"Undisclosed_or_missing",0,0,,0,,
2020-12-17,"12-17yrs",0,0,,951519,.0000,.0000
2020-12-17,"18-29yrs",122,0,,2455535,.0000,.0000
2020-12-17,"30-39yrs",181,0,,2056059,.0000,.0000
2020-12-17,"40-49yrs",271,0,,1876583,.0000,.0000
2020-12-17,"50-59yrs",329,0,,2060934,.0000,.0000
2020-12-17,"60-69yrs",164,0,,1795046,.0000,.0000
2020-12-17,"70-79yrs",26,0,,1159902,.0000,.0000
2020-12-17,"80+",0,0,,679266,.0000,.0000
2020-12-17,"Adults_18plus",1093,0,,12083325,.0000,.0000
2020-12-17,"Ontario_12plus",1093,0,,13034844,.0001,.0000
2020-12-17,"Undisclosed_or_missing",0,0,,0,,
2020-12-18,"12-17yrs",0,0,,951519,.0000,.0000
2020-12-18,"18-29yrs",234,0,,2455535,.0000,.0000
2020-12-18,"30-39yrs",352,0,,2056059,.0000,.0000
2020-12-18,"40-49yrs",499,0,,1876583,.0000,.0000
2020-12-18,"50-59yrs",601,0,,2060934,.0000,.0000
2020-12-18,"60-69yrs",305,0,,1795046,.0000,.0000
2020-12-18,"70-79yrs",48,0,,1159902,.0000,.0000
2020-12-18,"80+",1,0,,679266,.0000,.0000
2020-12-18,"Adults_18plus",2040,0,,12083325,.0000,.0000
2020-12-18,"Ontario_12plus",2040,0,,13034844,.0002,.0000
2020-12-18,"Undisclosed_or_missing",0,0,,0,,
2020-12-19,"12-17yrs",0,0,,951519,.0000,.0000
2020-12-19,"18-29yrs",325,0,,2455535,.0000,.0000
2020-12-19,"30-39yrs",490,0,,2056059,.0000,.0000
2020-12-19,"40-49yrs",732,0,,1876583,.0000,.0000
2020-12-19,"50-59yrs",880,0,,2060934,.0000,.0000
2020-12-19,"60-69yrs",471,0,,1795046,.0000,.0000
2020-12-19,"70-79yrs",69,0,,1159902,.0000,.0000
2020-12-19,"80+",2,0,,679266,.0000,.0000
2020-12-19,"Adults_18plus",2969,0,,12083325,.0000,.0000
2020-12-19,"Ontario_12plus",2969,0,,13034844,.0002,.0000
2020-12-19,"Undisclosed_or_missing",0,0,,0,,
2020-12-20,"12-17yrs",0,0,,951519,.0000,.0000
2020-12-20,"18-29yrs",325,0,,2455535,.0000,.0000
2020-12-20,"30-39yrs",490,0,,2056059,.0000,.0000
2020-12-20,"40-49yrs",732,0,,1876583,.0000,.0000
2020-12-20,"50-59yrs",880,0,,2060934,.0000,.0000
2020-12-20,"60-69yrs",471,0,,1795046,.0000,.0000
2020-12-20,"70-79yrs",69,0,,1159902,.0000,.0000
2020-12-20,"80+",2,0,,679266,.0000,.0000
2020-12-20,"Adults_18plus",2969,0,,12083325,.0000,.0000
2020-12-20,"Ontario_12plus",2969,0,,13034844,.0002,.0000
2020-12-20,"Undisclosed_or_missing",0,0,,0,,
2020-12-21,"12-17yrs",0,0,,951519,.0000,.0000
2020-12-21,"18-29yrs",325,0,,2455535,.0000,.0000
2020-12-21,"30-39yrs",490,0,,2056059,.0000,.0000
2020-12-21,"40-49yrs",732,0,,1876583,.0000,.0000
2020-12-21,"50-59yrs",880,0,,2060934,.0000,.0000
2020-12-21,"60-69yrs",471,0,,1795046,.0000,.0000
2020-12-21,"70-79yrs",69,0,,1159902,.0000,.0000
2020-12-21,"80+",2,0,,679266,.0000,.0000
2020-12-21,"Adults_18plus",2969,0,,12083325,.0000,.0000
2020-12-21,"Ontario_12plus",2969,0,,13034844,.0002,.0000
2020-12-21,"Undisclosed_or_missing",0,0,,0,,
2020-12-22,"12-17yrs",2,0,,951519,.0000,.0000
2020-12-22,"18-29yrs",408,0,,2455535,.0000,.0000
2020-12-22,"30-39yrs",566,0,,2056059,.0000,.0000
2020-12-22,"40-49yrs",838,0,,1876583,.0000,.0000
2020-12-22,"50-59yrs",1057,0,,2060934,.0010,.0000
2020-12-22,"60-69yrs",563,0,,1795046,.0000,.0000
2020-12-22,"70-79yrs",89,0,,1159902,.0000,.0000
2020-12-22,"80+",3,0,,679266,.0000,.0000
2020-12-22,"Adults_18plus",3524,0,,12083325,.0000,.0000
2020-12-22,"Ontario_12plus",3526,0,,13034844,.0003,.0000
2020-12-22,"Undisclosed_or_missing",0,0,,0,,
2020-12-23,"12-17yrs",6,0,,951519,.0000,.0000
2020-12-23,"18-29yrs",688,0,,2455535,.0000,.0000
2020-12-23,"30-39yrs",956,0,,2056059,.0000,.0000
2020-12-23,"40-49yrs",1313,0,,1876583,.0010,.0000
2020-12-23,"50-59yrs",1610,0,,2060934,.0010,.0000
2020-12-23,"60-69yrs",891,0,,1795046,.0000,.0000
2020-12-23,"70-79yrs",146,0,,1159902,.0000,.0000
2020-12-23,"80+",115,0,,679266,.0000,.0000
2020-12-23,"Adults_18plus",5719,0,,12083325,.0000,.0000
2020-12-23,"Ontario_12plus",5725,0,,13034844,.0004,.0000
2020-12-23,"Undisclosed_or_missing",1,0,,0,,
2020-12-24,"12-17yrs",12,0,,951519,.0000,.0000
2020-12-24,"18-29yrs",1147,0,,2455535,.0000,.0000
2020-12-24,"30-39yrs",1569,0,,2056059,.0010,.0000
2020-12-24,"40-49yrs",2010,0,,1876583,.0010,.0000
2020-12-24,"50-59yrs",2515,0,,2060934,.0010,.0000
2020-12-24,"60-69yrs",1469,0,,1795046,.0010,.0000
2020-12-24,"70-79yrs",262,0,,1159902,.0000,.0000
2020-12-24,"80+",264,0,,679266,.0000,.0000
2020-12-24,"Adults_18plus",9236,0,,12083325,.0010,.0000
2020-12-24,"Ontario_12plus",9248,0,,13034844,.0007,.0000
2020-12-24,"Undisclosed_or_missing",3,0,,0,,
2020-12-25,"12-17yrs",13,0,,951519,.0000,.0000
2020-12-25,"18-29yrs",1357,0,,2455535,.0010,.0000
2020-12-25,"30-39yrs",1888,0,,2056059,.0010,.0000
2020-12-25,"40-49yrs",2468,0,,1876583,.0010,.0000
